Mandi Name - Agmark,Mandi Name (Hi),District ID,District Name - Agmark,State Name,Source
Car Nicobar,कार निकोबार,3101,Nicobar,Andaman and Nicobar,Agmark
Diglipur,दिगलिपुर,3102,North and Middle Andaman,Andaman and Nicobar,Agmark
Mayabandar,मायाबंदर,3102,North and Middle Andaman,Andaman and Nicobar,Agmark
Port Blair,पोर्ट ब्लेयर,3103,South Andaman,Andaman and Nicobar,Agmark
Bobbili,बोब्बिली,102,Vijayanagaram,Andhra Pradesh,Agmark
Chipurupalli,चिपुरुपल्ली,102,Vijayanagaram,Andhra Pradesh,Agmark
Gajapathinagaram,गजपतिनगरम,102,Vijayanagaram,Andhra Pradesh,Agmark
Kothavalasa,कोठवलसा,102,Vijayanagaram,Andhra Pradesh,Agmark
Kurupam,कुरुपम,102,Vijayanagaram,Andhra Pradesh,Agmark
"Old Maharaj Hospital,RBZ,Vizianagaram","ओल्ड महाराज अस्पताल, आरबीजेड, विजयनगरम",102,Vijayanagaram,Andhra Pradesh,Agmark
Parvathipuram,पार्वतीपुरम,102,Vijayanagaram,Andhra Pradesh,Agmark
"Parvathipuram ,RBZ","पार्वतीपुरम, आरबीजेड",102,Vijayanagaram,Andhra Pradesh,Agmark
Pusapatirega,पुसापतिरेगा,102,Vijayanagaram,Andhra Pradesh,Agmark
"R and B Guest House,RBZ,Vizianagaram","आर एंड बी गेस्ट हाउस, आरबीजेड, विजयनगरम",102,Vijayanagaram,Andhra Pradesh,Agmark
"Ring Road Jn.,RBZ, Vizianagaram","रिंग रोड जंक्शन, आरबीजेड, विजयनगरम",102,Vijayanagaram,Andhra Pradesh,Agmark
Saluru,सालुरु,102,Vijayanagaram,Andhra Pradesh,Agmark
Vijayanagaram,विजयनगरम,102,Vijayanagaram,Andhra Pradesh,Agmark
Vijayanagaram(Rythu Bazar),विजयनगरम (रायथू बाजार),102,Vijayanagaram,Andhra Pradesh,Agmark
Badvel,बडवेल,112,Cuddapah,Andhra Pradesh,Agmark
Cuddapah,कडप्पा,112,Cuddapah,Andhra Pradesh,Agmark
"Dwarakanagar,RBZ","द्वारकानगर, आरबीजेड",112,Cuddapah,Andhra Pradesh,Agmark
Dwarkanagar(Rythu Bazar),द्वारकानगर (रायथू बाजार),112,Cuddapah,Andhra Pradesh,Agmark
Jammalamadugu,जम्मलामडुगु,112,Cuddapah,Andhra Pradesh,Agmark
Kamalapuram,कमलापुरम,112,Cuddapah,Andhra Pradesh,Agmark
Koduru,कोडुरु,112,Cuddapah,Andhra Pradesh,Agmark
L.R.Palli,एलआर पल्ली,112,Cuddapah,Andhra Pradesh,Agmark
Lakkireddipally,लक्कीरेड्डीपल्ली,112,Cuddapah,Andhra Pradesh,Agmark
Mydukur,मैदुकूरु,112,Cuddapah,Andhra Pradesh,Agmark
Proddatur,प्रोद्दातुर,112,Cuddapah,Andhra Pradesh,Agmark
"Proddatur,RBZ","प्रोद्दातुर, आरबीजेड",112,Cuddapah,Andhra Pradesh,Agmark
Pulivendala,पुलिवेंडाला,112,Cuddapah,Andhra Pradesh,Agmark
Rajampet,राजमपेट,112,Cuddapah,Andhra Pradesh,Agmark
Rayachoti,रायचोटी,112,Cuddapah,Andhra Pradesh,Agmark
Siddavatam,सिद्धावतम,112,Cuddapah,Andhra Pradesh,Agmark
Siddout,सिडआउट,112,Cuddapah,Andhra Pradesh,Agmark
Bangarupalem,बंगरुपलेम,2323,Chittor,Andhra Pradesh,Agmark
Chittoor,चित्तूर,2323,Chittor,Andhra Pradesh,Agmark
"Chittoor (MGH),RBZ","चित्तूर (एमजीएच), आरबीजेड",2323,Chittor,Andhra Pradesh,Agmark
Chittor(Rythu Bazar),चित्तौड़ (रायथू बाजार),2323,Chittor,Andhra Pradesh,Agmark
Kalikiri,कालीकिरी,2323,Chittor,Andhra Pradesh,Agmark
Kuppam,कुप्पम,2323,Chittor,Andhra Pradesh,Agmark
Madanapalli,मदनापल्ली,2323,Chittor,Andhra Pradesh,Agmark
Mulakalacheruvu,मूलकलचेरुवु,2323,Chittor,Andhra Pradesh,Agmark
Nagalapuram,नागालपुरम,2323,Chittor,Andhra Pradesh,Agmark
Nagari,नागरी,2323,Chittor,Andhra Pradesh,Agmark
Pakala,पकाला,2323,Chittor,Andhra Pradesh,Agmark
Palamaner,पालमनेर,2323,Chittor,Andhra Pradesh,Agmark
Piler,पिलर,2323,Chittor,Andhra Pradesh,Agmark
Punganur,पुंगनूर,2323,Chittor,Andhra Pradesh,Agmark
Puttur,पुत्तूर,2323,Chittor,Andhra Pradesh,Agmark
Rompicherla,रोम्पीचेरला,2323,Chittor,Andhra Pradesh,Agmark
Satyavedu,सत्यवेदु,2323,Chittor,Andhra Pradesh,Agmark
Somala,सोमला,2323,Chittor,Andhra Pradesh,Agmark
Srikalahasti,श्रीकालाहस्ती,2323,Chittor,Andhra Pradesh,Agmark
Thambalapalli,थम्बलपल्ली,2323,Chittor,Andhra Pradesh,Agmark
Thottambedu,थोट्टामबेडु,2323,Chittor,Andhra Pradesh,Agmark
Tirupati,तिरुपति,2323,Chittor,Andhra Pradesh,Agmark
"Tirupati (TUDA),RBZ","तिरुपति (टुडा), आरबीजेड",2323,Chittor,Andhra Pradesh,Agmark
V.Kota Mkt.Yard,वी.कोटा मार्केट यार्ड,2323,Chittor,Andhra Pradesh,Agmark
Vayalapadu,वायलपडु,2323,Chittor,Andhra Pradesh,Agmark
Vepanjari,वेपांजरी,2323,Chittor,Andhra Pradesh,Agmark
Amadalavalasa,अमुदलवलासा,0101,Srikakulam,Andhra Pradesh,Agmark
"Amudalavalasa ,RBZ","अमुदलावलासा, आरबीजेड",0101,Srikakulam,Andhra Pradesh,Agmark
Hiramandalam,हीरामंडलम,0101,Srikakulam,Andhra Pradesh,Agmark
Ichapuram,इच्छापुरम,0101,Srikakulam,Andhra Pradesh,Agmark
Kanchili,कांची,0101,Srikakulam,Andhra Pradesh,Agmark
Kothabommali,कोथाबोम्मली,0101,Srikakulam,Andhra Pradesh,Agmark
Narasannapet,नरसन्नापेट,0101,Srikakulam,Andhra Pradesh,Agmark
Palakonda,पालकोंडा,0101,Srikakulam,Andhra Pradesh,Agmark
Pathapatnam,पाठपट्टनम,0101,Srikakulam,Andhra Pradesh,Agmark
Ponduru,पोंडुरु,0101,Srikakulam,Andhra Pradesh,Agmark
Rajam,राजम,0101,Srikakulam,Andhra Pradesh,Agmark
Sompeta,सोम्पेता,0101,Srikakulam,Andhra Pradesh,Agmark
Srikakulam,श्रीकाकुलम,0101,Srikakulam,Andhra Pradesh,Agmark
"Srikakulam (Illandu Junction),RBZ","श्रीकाकुलम (इलंदु जंक्शन), आरबीजेड",0101,Srikakulam,Andhra Pradesh,Agmark
Tekkali,टेककली,0101,Srikakulam,Andhra Pradesh,Agmark
"Akkaiahpalem,RBZ,Visakhapatnam","अक्कैयापलेम, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
Anakapally,अनाकापल्ली,0103,Visakhapatnam,Andhra Pradesh,Agmark
Bheemunipatnam,भीमुनिपटनम,0103,Visakhapatnam,Andhra Pradesh,Agmark
Bhimunipatnam,भीमुनिपटनम,0103,Visakhapatnam,Andhra Pradesh,Agmark
Chintapally,चिंतापल्ली,0103,Visakhapatnam,Andhra Pradesh,Agmark
Chodavaram,चोडावरम,0103,Visakhapatnam,Andhra Pradesh,Agmark
"Gajuwaka,RBZ,Visakhapatnam","गजुवाका, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Gopala Patnam Cent.,RBZ,Visakhapatnam","गोपाल पटनम सेंट।, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Kancharlapalem,RBZ","कंचारलापलेम, आरबीजेड",0103,Visakhapatnam,Andhra Pradesh,Agmark
"M.V.P.Colony,RBZ,Visakhapatnam","एमवीपी कॉलोनी, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Madhurawada,RBZ","मधुरवाड़ा, आरबीजेड",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Marripalem,RBZ,Visakhapatnam","मैरिपलेम, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Mulagada,Visakhapatnam","मुलगाड़ा, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
Narsipatnam,नरसीपत्तनम,0103,Visakhapatnam,Andhra Pradesh,Agmark
Paderu,पडेरू,0103,Visakhapatnam,Andhra Pradesh,Agmark
"Pedagantiyada,RBZ,Visakhapatnam","पेदगंटियाडा, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Peddavaltair,RBZ,Visakhapatnam","पेड्डावल्टेयर, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Pendurthi,RBZ","पेंडुर्थी, आरबीजेड",0103,Visakhapatnam,Andhra Pradesh,Agmark
"Seethammadhara,RBZ,Visakhapatnam","सीथम्माधारा, आरबीजेड, विशाखापत्तनम",0103,Visakhapatnam,Andhra Pradesh,Agmark
